"","Player","Season","Cluster"
"760","Marvin Williams","2005-06",7
"761","Mateen Cleaves","2005-06",4
"762","Matt Barnes","2005-06",13
"763","Matt Bonner","2005-06",19
"764","Matt Carroll","2005-06",12
"765","Matt Harpring","2005-06",7
"766","Matt Walsh","2005-06",17
"767","Maurice Evans","2005-06",3
"768","Maurice Taylor","2005-06",24
"769","Mehmet Okur","2005-06",21
"770","Melvin Ely","2005-06",13
"771","Melvin Sanders","2005-06",21
"772","Metta World Peace","2005-06",8
"773","Michael Bradley","2005-06",10
"774","Michael Doleac","2005-06",23
"775","Michael Finley","2005-06",11
"776","Michael Olowokandi","2005-06",10
"777","Michael Redd","2005-06",2
"778","Michael Ruffin","2005-06",10
"779","Michael Sweetney","2005-06",15
"780","Mickael Pietrus","2005-06",12
"781","Mike Bibby","2005-06",8
"782","Mike Dunleavy","2005-06",3
"783","Mike James","2005-06",8
"784","Mike Miller","2005-06",19
"785","Mike Wilks","2005-06",4
"786","Mikki Moore","2005-06",7
"787","Milt Palacio","2005-06",6
"788","Mo Williams","2005-06",11
"789","Monta Ellis","2005-06",3
"790","Moochie Norris","2005-06",4
"791","Morris Peterson","2005-06",12
"792","Nate Robinson","2005-06",8
"793","Nazr Mohammed","2005-06",22
"794","Nenad Krstic","2005-06",7
"795","Nene","2005-06",9
"796","Nick Collison","2005-06",10
"797","Nick Van Exel","2005-06",25
"798","Nikoloz Tskitishvili","2005-06",21
"799","Noel Felix","2005-06",21
"800","Orien Greene","2005-06",18
"801","Othella Harrington","2005-06",24
"802","P.J. Brown","2005-06",23
"803","Pape Sow","2005-06",10
"804","Pat Burke","2005-06",24
"805","Pat Garrity","2005-06",25
"806","Pau Gasol","2005-06",1
"807","Paul Pierce","2005-06",2
"808","Pavel Podkolzin","2005-06",16
"809","Peja Stojakovic","2005-06",12
"810","Primoz Brezec","2005-06",24
"811","Quentin Richardson","2005-06",19
"812","Quinton Ross","2005-06",18
"813","Qyntel Woods","2005-06",18
"814","Raef LaFrentz","2005-06",19
"815","Rafael Araujo","2005-06",10
"816","Rafer Alston","2005-06",3
"817","Raja Bell","2005-06",25
"818","Randy Holcomb","2005-06",5
"819","Randy Livingston","2005-06",5
"820","Rashad McCants","2005-06",3
"821","Rashard Lewis","2005-06",12
"822","Rasheed Wallace","2005-06",19
"823","Rasho Nesterovic","2005-06",10
"824","Rasual Butler","2005-06",11
"825","Rawle Marshall","2005-06",6
"826","Ray Allen","2005-06",12
"827","Raymond Felton","2005-06",3
"828","Reece Gaines","2005-06",4
"829","Reggie Evans","2005-06",22
"830","Richard Hamilton","2005-06",14
"831","Richard Jefferson","2005-06",6
"832","Richie Frahm","2005-06",25
"833","Rick Brunson","2005-06",4
"834","Ricky Davis","2005-06",14
"835","Robert Horry","2005-06",19
"836","Robert Swift","2005-06",10
"837","Robert Whaley","2005-06",10
"838","Ronald Dupree","2005-06",7
"839","Ronald Murray","2005-06",4
"840","Ronnie Price","2005-06",25
"841","Ronny Turiaf","2005-06",15
"842","Royal Ivey","2005-06",4
"843","Ruben Patterson","2005-06",6
"844","Ryan Bowen","2005-06",18
"845","Ryan Gomes","2005-06",7
"846","Salim Stoudamire","2005-06",12
"847","Sam Cassell","2005-06",14
"848","Samaki Walker","2005-06",5
"849","Samuel Dalembert","2005-06",22
"850","Sarunas Jasikevicius","2005-06",25
"851","Sasha Pavlovic","2005-06",3
"852","Sasha Vujacic","2005-06",25
"853","Scot Pollard","2005-06",10
"854","Scott Padgett","2005-06",19
"855","Sean Marks","2005-06",24
"856","Sean May","2005-06",24
"857","Sebastian Telfair","2005-06",8
"858","Sergei Monia","2005-06",3
"859","Shandon Anderson","2005-06",18
"860","Shane Battier","2005-06",3
"861","Shaquille O'Neal","2005-06",1
"862","Shareef Abdur-Rahim","2005-06",7
"863","Sharrod Ford","2005-06",5
"864","Shaun Livingston","2005-06",18
"865","Shavlik Randolph","2005-06",15
"866","Shawn Marion","2005-06",23
"867","Slava Medvedenko","2005-06",5
"868","Smush Parker","2005-06",3
"869","Speedy Claxton","2005-06",14
"870","Stacey Augmon","2005-06",18
"871","Stephen Graham","2005-06",21
"872","Stephen Jackson","2005-06",8
"873","Stephon Marbury","2005-06",6
"874","Steve Blake","2005-06",11
"875","Steve Francis","2005-06",6
"876","Steve Nash","2005-06",8
"877","Steven Hunter","2005-06",13
"878","Stromile Swift","2005-06",7
"879","T.J. Ford","2005-06",4
"880","Tayshaun Prince","2005-06",4
"881","Terence Morris","2005-06",18
"882","Theo Ratliff","2005-06",10
"883","Tim Duncan","2005-06",1
"884","Tim Thomas","2005-06",19
"885","Toni Kukoc","2005-06",19
"886","Tony Allen","2005-06",6
"887","Tony Battie","2005-06",18
"888","Tony Delk","2005-06",11
"889","Tony Parker","2005-06",14
"890","Tracy McGrady","2005-06",2
"891","Travis Diener","2005-06",25
"892","Travis Outlaw","2005-06",21
"893","Trenton Hassell","2005-06",4
"894","Trevor Ariza","2005-06",13
"895","Troy Hudson","2005-06",11
"896","Troy Murphy","2005-06",23
"897","Tyronn Lue","2005-06",8
"898","Tyson Chandler","2005-06",22
"899","Udonis Haslem","2005-06",23
"900","Viktor Khryapa","2005-06",18
"901","Vin Baker","2005-06",1
"902","Vince Carter","2005-06",2
"903","Vitaly Potapenko","2005-06",10
"904","Vladimir Radmanovic","2005-06",19
"905","Von Wafer","2005-06",12
"906","Voshon Lenard","2005-06",11
"907","Wally Szczerbiak","2005-06",8
"908","Walter McCarty","2005-06",19
"909","Wayne Simien","2005-06",7
"910","Will Bynum","2005-06",4
"911","Willie Green","2005-06",11
"912","Yao Ming","2005-06",1
"913","Yaroslav Korolev","2005-06",4
"914","Zach Randolph","2005-06",24
"915","Zarko Cabarkapa","2005-06",7
"916","Zaza Pachulia","2005-06",15
"917","Zeljko Rebraca","2005-06",13
"918","Zendon Hamilton","2005-06",1
"919","Zoran Planinic","2005-06",3
"920","Zydrunas Ilgauskas","2005-06",7
"921","Aaron McKie","2006-07",21
"922","Aaron Williams","2006-07",9
"923","Adam Morrison","2006-07",19
"924","Adonal Foyle","2006-07",9
"925","Adrian Griffin","2006-07",21
"926","Al Harrington","2006-07",14
"927","Al Jefferson","2006-07",15
"928","Alan Anderson","2006-07",7
"929","Alan Henderson","2006-07",23
"930","Alexander Johnson","2006-07",23
"931","Allan Ray","2006-07",11
"932","Allen Iverson","2006-07",6
"933","Alonzo Mourning","2006-07",22
"934","Alvin Williams","2006-07",4
"935","Amar'e Stoudemire","2006-07",15
"936","Amir Johnson","2006-07",23
"937","Anderson Varejao","2006-07",23
"938","Andray Blatche","2006-07",5
"939","Andre Barrett","2006-07",21
"940","Andre Brown","2006-07",23
"941","Andre Iguodala","2006-07",6
"942","Andre Miller","2006-07",20
"943","Andrea Bargnani","2006-07",12
"944","Andreas Glyniadakis","2006-07",21
"945","Andrei Kirilenko","2006-07",8
"946","Andres Nocioni","2006-07",14
"947","Andrew Bogut","2006-07",23
"948","Andrew Bynum","2006-07",23
"949","Andris Biedrins","2006-07",23
"950","Antawn Jamison","2006-07",14
"951","Anthony Carter","2006-07",21
"952","Anthony Johnson","2006-07",21
"953","Anthony Parker","2006-07",7
"954","Anthony Roberson","2006-07",17
"955","Antoine Walker","2006-07",12
"956","Antoine Wright","2006-07",8
"957","Antonio Daniels","2006-07",20
"958","Antonio McDyess","2006-07",5
"959","Austin Croshere","2006-07",12
"960","Baron Davis","2006-07",25
"961","Ben Gordon","2006-07",18
"962","Ben Wallace","2006-07",23
"963","Beno Udrih","2006-07",19
"964","Bernard Robinson","2006-07",8
"965","Bo Outlaw","2006-07",9
"966","Bobby Jackson","2006-07",11
"967","Bobby Jones","2006-07",1
"968","Bonzi Wells","2006-07",1
"969","Boris Diaw","2006-07",8
"970","Bostjan Nachbar","2006-07",12
"971","Bracey Wright","2006-07",19
"972","Brad Miller","2006-07",16
"973","Brandon Bass","2006-07",5
"974","Brandon Roy","2006-07",20
"975","Brendan Haywood","2006-07",23
"976","Brent Barry","2006-07",2
"977","Brevin Knight","2006-07",16
"978","Brian Cardinal","2006-07",12
"979","Brian Cook","2006-07",14
"980","Brian Scalabrine","2006-07",3
"981","Brian Skinner","2006-07",9
"982","Bruce Bowen","2006-07",3
"983","Calvin Booth","2006-07",9
"984","Carlos Arroyo","2006-07",20
"985","Carlos Boozer","2006-07",15
"986","Carlos Delfino","2006-07",12
"987","Carmelo Anthony","2006-07",6
"988","Caron Butler","2006-07",16
"989","Cedric Bozeman","2006-07",3
"990","Cedric Simmons","2006-07",5
"991","Channing Frye","2006-07",16
"992","Charles Hayes","2006-07",23
"993","Charlie Bell","2006-07",7
"994","Charlie Villanueva","2006-07",14
"995","Chauncey Billups","2006-07",25
"996","Chris Bosh","2006-07",15
"997","Chris Duhon","2006-07",3
"998","Chris Kaman","2006-07",23
"999","Chris McCray","2006-07",21
"1000","Chris Paul","2006-07",20
"1001","Chris Quinn","2006-07",11
"1002","Chris Webber","2006-07",5
"1003","Chris Wilcox","2006-07",5
"1004","Chucky Atkins","2006-07",11
"1005","CJ Miles","2006-07",7
"1006","Clifford Robinson","2006-07",7
"1007","Corey Maggette","2006-07",6
"1008","Corliss Williamson","2006-07",1
"1009","Craig Smith","2006-07",23
"1010","Cuttino Mobley","2006-07",7
"1011","Dahntay Jones","2006-07",20
"1012","Dajuan Wagner","2006-07",25
"1013","Dale Davis","2006-07",9
"1014","Damien Wilkins","2006-07",20
"1015","Damir Markota","2006-07",7
"1016","Damon Jones","2006-07",2
"1017","Damon Stoudamire","2006-07",7
"1018","Dan Dickau","2006-07",11
"1019","Dan Gadzuric","2006-07",23
"1020","Daniel Ewing","2006-07",7
"1021","Daniel Gibson","2006-07",3
"1022","Danny Fortson","2006-07",23
"1023","Danny Granger","2006-07",7
"1024","Darius Songaila","2006-07",16
"1025","Darko Milicic","2006-07",23
"1026","Darrell Armstrong","2006-07",2
"1027","Darrick Martin","2006-07",19
"1028","David Harrison","2006-07",5
"1029","David Lee","2006-07",23
"1030","David Noel","2006-07",7
"1031","David Wesley","2006-07",3
"1032","David West","2006-07",16
"1033","Dee Brown","2006-07",8
"1034","Delonte West","2006-07",20
"1035","Derek Anderson","2006-07",3
"1036","Derek Fisher","2006-07",20
"1037","DerMarr Johnson","2006-07",2
"1038","Deron Williams","2006-07",20
"1039","DeSagana Diop","2006-07",9
"1040","DeShawn Stevenson","2006-07",20
"1041","Desmon Farmer","2006-07",17
"1042","Desmond Mason","2006-07",1
"1043","Devean George","2006-07",7
"1044","Devin Brown","2006-07",12
"1045","Devin Harris","2006-07",20
"1046","Dijon Thompson","2006-07",1
"1047","Dikembe Mutombo","2006-07",23
"1048","Dirk Nowitzki","2006-07",15
"1049","DJ Mbenga","2006-07",8
"1050","Donell Taylor","2006-07",16
"1051","Donyell Marshall","2006-07",12
"1052","Dorell Wright","2006-07",5
"1053","Doug Christie","2006-07",7
"1054","Drew Gooden","2006-07",5
"1055","Dwayne Jones","2006-07",22
"1056","Dwight Howard","2006-07",22
"1057","Dwyane Wade","2006-07",6
"1058","Earl Barron","2006-07",16
"1059","Earl Boykins","2006-07",19
"1060","Earl Watson","2006-07",11
"1061","Eddie Griffin","2006-07",5
"1062","Eddie House","2006-07",17
"1063","Eddie Jones","2006-07",3
"1064","Eddy Curry","2006-07",22
"1065","Eduardo Najera","2006-07",8
"1066","Elton Brand","2006-07",15
"1067","Emeka Okafor","2006-07",23
"1068","Eric Piatkowski","2006-07",2
"1069","Eric Snow","2006-07",8
"1070","Eric Williams","2006-07",19
"1071","Erick Dampier","2006-07",23
"1072","Ersan Ilyasova","2006-07",12
"1073","Esteban Batista","2006-07",23
"1074","Etan Thomas","2006-07",23
"1075","Fabricio Oberto","2006-07",9
"1076","Francisco Elson","2006-07",9
"1077","Francisco Garcia","2006-07",7
"1078","Fred Jones","2006-07",3
"1079","Gary Payton","2006-07",3
"1080","Gerald Green","2006-07",19
"1081","Gerald Wallace","2006-07",1
"1082","Gilbert Arenas","2006-07",25
"1083","Gordan Giricek","2006-07",19
"1084","Grant Hill","2006-07",6
"1085","Greg Buckner","2006-07",3
"1086","Hakim Warrick","2006-07",1
"1087","Hassan Adams","2006-07",8
"1088","Hedo Turkoglu","2006-07",11
"1089","Hilton Armstrong","2006-07",9
"1090","Ike Diogu","2006-07",22
"1091","Ime Udoka","2006-07",3
"1092","Ira Newble","2006-07",12
"1093","Ivan McFarlin","2006-07",22
"1094","J.R. Smith","2006-07",2
"1095","Jackie Butler","2006-07",5
"1096","Jacque Vaughn","2006-07",21
"1097","Jake Tsakalidis","2006-07",23
"1098","Jake Voskuhl","2006-07",5
"1099","Jalen Rose","2006-07",17
"1100","Jamaal Magloire","2006-07",23
"1101","Jamaal Tinsley","2006-07",20
"1102","Jamal Crawford","2006-07",11
"1103","Jamal Sampson","2006-07",23
"1104","Jameer Nelson","2006-07",20
"1105","James Augustine","2006-07",13
"1106","James Jones","2006-07",2
"1107","James Lang","2006-07",9
"1108","James Posey","2006-07",12
"1109","James Singleton","2006-07",5
"1110","James White","2006-07",20
"1111","Jannero Pargo","2006-07",19
"1112","Jared Jeffries","2006-07",8
"1113","Jared Reiner","2006-07",9
"1114","Jarrett Jack","2006-07",20
"1115","Jarron Collins","2006-07",9
"1116","Jarvis Hayes","2006-07",19
"1117","Jason Collins","2006-07",9
"1118","Jason Hart","2006-07",21
"1119","Jason Kapono","2006-07",19
"1120","Jason Kidd","2006-07",12
"1121","Jason Maxiell","2006-07",1
"1122","Jason Richardson","2006-07",2
"1123","Jason Terry","2006-07",19
"1124","Jason Williams","2006-07",2
"1125","Jeff Foster","2006-07",23
"1126","Jeff McInnis","2006-07",21
"1127","Jeremy Richardson","2006-07",17
"1128","Jermaine O'Neal","2006-07",15
"1129","Jerome James","2006-07",5
"1130","Jerry Stackhouse","2006-07",18
"1131","JJ Redick","2006-07",19
"1132","Joe Johnson","2006-07",18
"1133","Joe Smith","2006-07",5
"1134","Joel Przybilla","2006-07",9
"1135","Joey Graham","2006-07",5
"1136","Johan Petro","2006-07",5
"1137","John Lucas III","2006-07",2
"1138","John Salmons","2006-07",8
"1139","Jordan Farmar","2006-07",3
"1140","Jorge Garbajosa","2006-07",7
"1141","Jose Calderon","2006-07",20
"1142","Jose Juan Barea","2006-07",11
"1143","Josh Boone","2006-07",22
"1144","Josh Childress","2006-07",8
"1145","Josh Howard","2006-07",14
"1146","Josh Powell","2006-07",5
"1147","Josh Smith","2006-07",1
"1148","Juan Dixon","2006-07",19
"1149","Julius Hodge","2006-07",8
"1150","Jumaine Jones","2006-07",17
"1151","Junior Harrington","2006-07",20
"1152","Justin Reed","2006-07",16
"1153","Justin Williams","2006-07",22
"1154","Juwan Howard","2006-07",16
"1155","Keith Bogans","2006-07",3
"1156","Keith McLeod","2006-07",20
"1157","Kelenna Azubuike","2006-07",11
"1158","Kelvin Cato","2006-07",23
"1159","Kendrick Perkins","2006-07",9
"1160","Kenny Thomas","2006-07",9
"1161","Kenyon Martin","2006-07",15
"1162","Kevin Garnett","2006-07",15
"1163","Kevin Martin","2006-07",25
"1164","Kevin Ollie","2006-07",21
"1165","Kevin Willis","2006-07",5
"1166","Kevinn Pinkney","2006-07",16
"1167","Keyon Dooling","2006-07",20
"1168","Kirk Hinrich","2006-07",19
"1169","Kirk Snyder","2006-07",8
"1170","Kobe Bryant","2006-07",6
"1171","Kris Humphries","2006-07",23
"1172","Kurt Thomas","2006-07",5
"1173","Kwame Brown","2006-07",23
"1174","Kyle Korver","2006-07",19
"1175","Kyle Lowry","2006-07",1
"1176","Lamar Odom","2006-07",14
"1177","LaMarcus Aldridge","2006-07",5
"1178","Larry Hughes","2006-07",20
"1179","Lawrence Roberts","2006-07",23
"1180","Leandro Barbosa","2006-07",11
"1181","LeBron James","2006-07",6
"1182","Leon Powe","2006-07",22
"1183","Linas Kleiza","2006-07",12
"1184","Lindsey Hunter","2006-07",2
"1185","Linton Johnson","2006-07",5
"1186","Lorenzen Wright","2006-07",9
"1187","Lou Amundson","2006-07",23
"1188","Lou Williams","2006-07",20
"1189","Luke Jackson","2006-07",3
"1190","Luke Ridnour","2006-07",20
"1191","Luke Schenscher","2006-07",9
"1192","Luke Walton","2006-07",8
"1193","Luol Deng","2006-07",16
"1194","Luther Head","2006-07",2
"1195","Lynn Greer","2006-07",11
"1196","Maceo Baston","2006-07",9
"1197","Malik Allen","2006-07",16
"1198","Malik Rose","2006-07",5
"1199","Manu Ginobili","2006-07",25
"1200","Marc Jackson","2006-07",16
"1201","Marcus Banks","2006-07",20
"1202","Marcus Camby","2006-07",5
"1203","Marcus Vinicius","2006-07",3
"1204","Marcus Williams","2006-07",11
"1205","Mardy Collins","2006-07",20
"1206","Mark Blount","2006-07",16
"1207","Mark Madsen","2006-07",9
"1208","Marko Jaric","2006-07",8
"1209","Marquis Daniels","2006-07",20
"1210","Martell Webster","2006-07",2
"1211","Marvin Williams","2006-07",16
"1212","Matt Barnes","2006-07",12
"1213","Matt Bonner","2006-07",12
"1214","Matt Carroll","2006-07",19
"1215","Matt Freije","2006-07",12
"1216","Matt Harpring","2006-07",1
"1217","Maurice Ager","2006-07",20
"1218","Maurice Evans","2006-07",7
"1219","Maurice Taylor","2006-07",23
"1220","Mehmet Okur","2006-07",14
"1221","Melvin Ely","2006-07",1
"1222","Metta World Peace","2006-07",14
"1223","Michael Doleac","2006-07",5
"1224","Michael Finley","2006-07",19
"1225","Michael Olowokandi","2006-07",9
"1226","Michael Redd","2006-07",25
"1227","Michael Ruffin","2006-07",9
"1228","Michael Sweetney","2006-07",22
"1229","Mickael Gelabale","2006-07",8
"1230","Mickael Pietrus","2006-07",12
"1231","Mike Bibby","2006-07",18
"1232","Mike Dunleavy","2006-07",14
"1233","Mike Hall","2006-07",16
"1234","Mike James","2006-07",11
"1235","Mike Miller","2006-07",2
"1236","Mike Wilks","2006-07",21
"1237","Mikki Moore","2006-07",5
"1238","Mile Ilic","2006-07",10
"1239","Mo Williams","2006-07",18
"1240","Monta Ellis","2006-07",20
"1241","Morris Peterson","2006-07",2
"1242","Mouhamed Sene","2006-07",22
"1243","Nate Robinson","2006-07",11
"1244","Nazr Mohammed","2006-07",23
"1245","Nenad Krstic","2006-07",1
"1246","Nene","2006-07",22
"1247","Nick Collison","2006-07",23
"1248","Orien Greene","2006-07",8
"1249","Othella Harrington","2006-07",5
"1250","P.J. Brown","2006-07",5
"1251","Pape Sow","2006-07",22
"1252","Pat Burke","2006-07",14
"1253","Pat Garrity","2006-07",7
"1254","Patrick O'Bryant","2006-07",5
"1255","Pau Gasol","2006-07",15
"1256","Paul Davis","2006-07",5
"1257","Paul Millsap","2006-07",23
"1258","Paul Pierce","2006-07",25
"1259","Peja Stojakovic","2006-07",19
"1260","PJ Tucker","2006-07",22
"1261","Pops Mensah-Bonsu","2006-07",22
"1262","Primoz Brezec","2006-07",5
"1263","Quentin Richardson","2006-07",12
"1264","Quincy Douby","2006-07",19
"1265","Quinton Ross","2006-07",21
"1266","Raef LaFrentz","2006-07",5
"1267","Rafael Araujo","2006-07",5
"1268","Rafer Alston","2006-07",2
"1269","Raja Bell","2006-07",2
"1270","Rajon Rondo","2006-07",8
"1271","Randolph Morris","2006-07",5
"1272","Randy Foye","2006-07",11
"1273","Randy Livingston","2006-07",21
"1274","Rashad McCants","2006-07",11
"1275","Rashard Lewis","2006-07",14
"1276","Rasheed Wallace","2006-07",12
"1277","Rasho Nesterovic","2006-07",9
"1278","Rasual Butler","2006-07",19
"1279","Rawle Marshall","2006-07",20
"1280","Ray Allen","2006-07",18
"1281","Raymond Felton","2006-07",11
"1282","Reggie Evans","2006-07",23
"1283","Renaldo Balkman","2006-07",23
"1284","Renaldo Major","2006-07",16
"1285","Richard Hamilton","2006-07",6
"1286","Richard Jefferson","2006-07",20
"1287","Ricky Davis","2006-07",19
"1288","Robert Hite","2006-07",19
"1289","Robert Horry","2006-07",12
"1290","Rodney Carney","2006-07",7
"1291","Roger Mason Jr.","2006-07",2
"1292","Roger Powell","2006-07",22
"1293","Ronald Dupree","2006-07",16
"1294","Ronald Murray","2006-07",20
"1295","Ronnie Brewer","2006-07",1
"1296","Ronnie Price","2006-07",11
"1297","Ronny Turiaf","2006-07",5
"1298","Royal Ivey","2006-07",21
"1299","Ruben Patterson","2006-07",1
"1300","Rudy Gay","2006-07",20
"1301","Ryan Gomes","2006-07",16
"1302","Ryan Hollins","2006-07",22
"1303","Salim Stoudamire","2006-07",19
"1304","Sam Cassell","2006-07",18
"1305","Samuel Dalembert","2006-07",23
"1306","Sarunas Jasikevicius","2006-07",19
"1307","Sasha Pavlovic","2006-07",7
"1308","Sasha Vujacic","2006-07",2
"1309","Scot Pollard","2006-07",9
"1310","Scott Padgett","2006-07",12
"1311","Sean Marks","2006-07",5
"1312","Sean May","2006-07",15
"1313","Sebastian Telfair","2006-07",7
"1314","Sergio Rodriguez","2006-07",3
"1315","Shammond Williams","2006-07",3
"1316","Shane Battier","2006-07",3
"1317","Shannon Brown","2006-07",7
"1318","Shaquille O'Neal","2006-07",22
"1319","Shareef Abdur-Rahim","2006-07",5
"1320","Shaun Livingston","2006-07",21
"1321","Shavlik Randolph","2006-07",23
"1322","Shawn Marion","2006-07",14
"1323","Shawne Williams","2006-07",7
"1324","Shelden Williams","2006-07",5
"1325","Slava Medvedenko","2006-07",6
"1326","Smush Parker","2006-07",11
"1327","Solomon Jones","2006-07",9
"1328","Speedy Claxton","2006-07",21
"1329","Stephen Graham","2006-07",7
"1330","Stephen Jackson","2006-07",11
"1331","Stephon Marbury","2006-07",11
"1332","Steve Blake","2006-07",3
"1333","Steve Francis","2006-07",25
"1334","Steve Nash","2006-07",11
"1335","Steve Novak","2006-07",2
"1336","Steven Hunter","2006-07",9
"1337","Steven Smith","2006-07",16
"1338","Stromile Swift","2006-07",5
"1339","T.J. Ford","2006-07",20
"1340","Tarence Kinsey","2006-07",20
"1341","Tayshaun Prince","2006-07",7
"1342","Thabo Sefolosha","2006-07",7
"1343","Theo Ratliff","2006-07",9
"1344","Tim Duncan","2006-07",15
"1345","Tim Thomas","2006-07",12
"1346","Tony Allen","2006-07",1
"1347","Tony Battie","2006-07",5
"1348","Tony Parker","2006-07",6
"1349","Tracy McGrady","2006-07",18
"1350","Travis Diener","2006-07",2
"1351","Travis Outlaw","2006-07",16
"1352","Trenton Hassell","2006-07",21
"1353","Trevor Ariza","2006-07",1
"1354","Troy Hudson","2006-07",19
"1355","Troy Murphy","2006-07",14
"1356","Tyronn Lue","2006-07",19
"1357","Tyrus Thomas","2006-07",22
"1358","Tyson Chandler","2006-07",23
"1359","Udonis Haslem","2006-07",5
"1360","Uros Slokar","2006-07",6
"1361","Vassilis Spanoulis","2006-07",11
"1362","Viktor Khryapa","2006-07",5
"1363","Vince Carter","2006-07",25
"1364","Vitaly Potapenko","2006-07",16
"1365","Vladimir Radmanovic","2006-07",12
"1366","Von Wafer","2006-07",24
"1367","Wally Szczerbiak","2006-07",18
"1368","Walter Herrmann","2006-07",7
"1369","Wayne Simien","2006-07",21
"1370","Will Blalock","2006-07",8
"1371","Will Conroy","2006-07",8
"1372","Willie Green","2006-07",18
"1373","Yakhouba Diawara","2006-07",3
"1374","Yao Ming","2006-07",15
"1375","Yaroslav Korolev","2006-07",18
"1376","Zach Randolph","2006-07",15
"1377","Zaza Pachulia","2006-07",22
"1378","Zydrunas Ilgauskas","2006-07",5
"1379","Aaron Brooks","2007-08",12
"1380","Aaron Gray","2007-08",8
"1381","Aaron Williams","2007-08",19
"1382","Acie Law","2007-08",11
"1383","Adonal Foyle","2007-08",5
"1384","Adrian Griffin","2007-08",23
"1385","Al Harrington","2007-08",1
"1386","Al Horford","2007-08",20
"1387","Al Jefferson","2007-08",9
"1388","Al Thornton","2007-08",17
"1389","Alando Tucker","2007-08",25
"1390","Alexander Johnson","2007-08",8
"1391","Allen Iverson","2007-08",14
"1392","Alonzo Mourning","2007-08",8
"1393","Amar'e Stoudemire","2007-08",3
"1394","Amir Johnson","2007-08",5
"1395","Anderson Varejao","2007-08",20
"1396","Andray Blatche","2007-08",8
"1397","Andre Barrett","2007-08",15
"1398","Andre Brown","2007-08",8
"1399","Andre Iguodala","2007-08",13
"1400","Andre Miller","2007-08",17
"1401","Andre Owens","2007-08",15
"1402","Andrea Bargnani","2007-08",16
"1403","Andrei Kirilenko","2007-08",25
"1404","Andres Nocioni","2007-08",2
"1405","Andrew Bogut","2007-08",20
"1406","Andrew Bynum","2007-08",20
"1407","Andris Biedrins","2007-08",20
"1408","Anfernee Hardaway","2007-08",18
"1409","Antawn Jamison","2007-08",2
"1410","Anthony Carter","2007-08",18
"1411","Anthony Johnson","2007-08",23
"1412","Anthony Parker","2007-08",18
"1413","Antoine Walker","2007-08",1
"1414","Antoine Wright","2007-08",18
"1415","Antonio Daniels","2007-08",11
"1416","Antonio McDyess","2007-08",9
"1417","Arron Afflalo","2007-08",25
"1418","Austin Croshere","2007-08",1
"1419","Awvee Storey","2007-08",22
"1420","Baron Davis","2007-08",12
"1421","Ben Gordon","2007-08",13
"1422","Ben Wallace","2007-08",5
"1423","Beno Udrih","2007-08",11
"1424","Billy Thomas","2007-08",10
"1425","Blake Ahearn","2007-08",12
"1426","Bo Outlaw","2007-08",6
"1427","Bobby Jackson","2007-08",16
"1428","Bobby Jones","2007-08",18
"1429","Bobby Simmons","2007-08",7
"1430","Bonzi Wells","2007-08",25
"1431","Boris Diaw","2007-08",22
"1432","Bostjan Nachbar","2007-08",12
"1433","Brad Miller","2007-08",9
"1434","Brandan Wright","2007-08",8
"1435","Brandon Bass","2007-08",9
"1436","Brandon Roy","2007-08",17
"1437","Brendan Haywood","2007-08",8
"1438","Brent Barry","2007-08",24
"1439","Brevin Knight","2007-08",23
"1440","Brian Cardinal","2007-08",1
"1441","Brian Cook","2007-08",1
"1442","Brian Scalabrine","2007-08",18
"1443","Brian Skinner","2007-08",9
"1444","Bruce Bowen","2007-08",18
"1445","Calvin Booth","2007-08",19
"1446","Carl Landry","2007-08",8
"1447","Carlos Arroyo","2007-08",11
"1448","Carlos Boozer","2007-08",9
"1449","Carlos Delfino","2007-08",1
"1450","Carmelo Anthony","2007-08",14
"1451","Caron Butler","2007-08",17
"1452","Casey Jacobsen","2007-08",24
"1453","Cedric Simmons","2007-08",25
"1454","Channing Frye","2007-08",9
"1455","Charles Hayes","2007-08",5
"1456","Charlie Bell","2007-08",15
"1457","Charlie Villanueva","2007-08",2
"1458","Chauncey Billups","2007-08",13
"1459","Cheikh Samb","2007-08",19
"1460","Chris Andersen","2007-08",20
"1461","Chris Bosh","2007-08",14
"1462","Chris Duhon","2007-08",24
"1463","Chris Kaman","2007-08",20
"1464","Chris Mihm","2007-08",8
"1465","Chris Paul","2007-08",17
"1466","Chris Quinn","2007-08",15
"1467","Chris Richard","2007-08",5
"1468","Chris Webber","2007-08",9
"1469","Chris Wilcox","2007-08",8
"1470","Chucky Atkins","2007-08",24
"1471","CJ Miles","2007-08",15
"1472","CJ Watson","2007-08",11
"1473","Coby Karl","2007-08",12
"1474","Corey Brewer","2007-08",22
"1475","Corey Maggette","2007-08",14
"1476","Courtney Sims","2007-08",19
"1477","Craig Smith","2007-08",8
"1478","Cuttino Mobley","2007-08",7
"1479","Daequan Cook","2007-08",16
"1480","Dahntay Jones","2007-08",14
"1481","Damien Wilkins","2007-08",7
"1482","Damon Jones","2007-08",24
"1483","Damon Stoudamire","2007-08",16
"1484","Dan Dickau","2007-08",15
"1485","Dan Gadzuric","2007-08",8
"1486","Daniel Gibson","2007-08",24
"1487","Danny Granger","2007-08",2
"1488","Darius Songaila","2007-08",22
"1489","Darius Washington","2007-08",15
"1490","Darko Milicic","2007-08",20
"1491","Darrell Armstrong","2007-08",24
